Page Link,Image Link
https://xkcd.com/2089/,https://imgs.xkcd.com/comics/christmas_eve_eve.png
https://xkcd.com/2088/,https://imgs.xkcd.com/comics/schwarzschilds_cat.png
https://xkcd.com/2087/,https://imgs.xkcd.com/comics/rocket_launch.png
https://xkcd.com/2086/,https://imgs.xkcd.com/comics/history_department.png
https://xkcd.com/2085/,https://imgs.xkcd.com/comics/arxiv.png
https://xkcd.com/2084/,https://imgs.xkcd.com/comics/fdr.png
https://xkcd.com/2083/,https://imgs.xkcd.com/comics/laptop_issues.png
https://xkcd.com/2082/,https://imgs.xkcd.com/comics/mercator_projection.png
https://xkcd.com/2081/,https://imgs.xkcd.com/comics/middle_latitudes.png
https://xkcd.com/2080/,https://imgs.xkcd.com/comics/cohort_and_age_effects.png
https://xkcd.com/2079/,https://imgs.xkcd.com/comics/alpha_centauri.png
https://xkcd.com/2078/,https://imgs.xkcd.com/comics/popper.png
https://xkcd.com/2077/,https://imgs.xkcd.com/comics/heist.png
https://xkcd.com/2076/,https://imgs.xkcd.com/comics/horror_movies_2.png
https://xkcd.com/2075/,https://imgs.xkcd.com/comics/update_your_address.png
https://xkcd.com/2074/,https://imgs.xkcd.com/comics/airplanes_and_spaceships.png
https://xkcd.com/2073/,https://imgs.xkcd.com/comics/kilogram.png
https://xkcd.com/2072/,https://imgs.xkcd.com/comics/evaluating_tech_things.png
https://xkcd.com/2071/,https://imgs.xkcd.com/comics/indirect_detection.png
https://xkcd.com/2070/,https://imgs.xkcd.com/comics/trig_identities.png
https://xkcd.com/2069/,https://imgs.xkcd.com/comics/wishlist.png
https://xkcd.com/2068/,https://imgs.xkcd.com/comics/election_night.png
https://xkcd.com/2067/,https:/2067/asset/challengers_header.png
https://xkcd.com/2066/,https://imgs.xkcd.com/comics/ballot_selfies.png
https://xkcd.com/2065/,https://imgs.xkcd.com/comics/who_sends_the_first_text.png
https://xkcd.com/2064/,https://imgs.xkcd.com/comics/im_a_car.png
https://xkcd.com/2063/,https://imgs.xkcd.com/comics/carnot_cycle.png
https://xkcd.com/2062/,https://imgs.xkcd.com/comics/barnards_star.png
https://xkcd.com/2061/,https://imgs.xkcd.com/comics/tectonics_game.png
https://xkcd.com/2060/,https://imgs.xkcd.com/comics/hygrometer.png
https://xkcd.com/2059/,https://imgs.xkcd.com/comics/modified_bayes_theorem.png
https://xkcd.com/2058/,https://imgs.xkcd.com/comics/rock_wall.png
https://xkcd.com/2057/,https://imgs.xkcd.com/comics/internal_monologues.png
https://xkcd.com/2056/,https://imgs.xkcd.com/comics/horror_movies.png
https://xkcd.com/2055/,https://imgs.xkcd.com/comics/bluetooth.png
https://xkcd.com/2054/,https://imgs.xkcd.com/comics/data_pipeline.png
https://xkcd.com/2053/,https://imgs.xkcd.com/comics/incoming_calls.png
https://xkcd.com/2052/,https://imgs.xkcd.com/comics/stanislav_petrov_day.png
https://xkcd.com/2051/,https://imgs.xkcd.com/comics/bad_opinions.png
https://xkcd.com/2050/,could not find image
https://xkcd.com/2049/,https://imgs.xkcd.com/comics/unfulfilling_toys.png
https://xkcd.com/2048/,https://imgs.xkcd.com/comics/curve_fitting.png
https://xkcd.com/2047/,https://imgs.xkcd.com/comics/beverages.png
https://xkcd.com/2046/,https://imgs.xkcd.com/comics/trum.png
https://xkcd.com/2045/,https://imgs.xkcd.com/comics/social_media_announcement.png
https://xkcd.com/2044/,https://imgs.xkcd.com/comics/sandboxing_cycle.png
https://xkcd.com/2043/,https://imgs.xkcd.com/comics/boathouses_and_houseboats.png
https://xkcd.com/2042/,https://imgs.xkcd.com/comics/rolles_theorem.png
https://xkcd.com/2041/,https://imgs.xkcd.com/comics/frontiers.png
https://xkcd.com/2040/,https://imgs.xkcd.com/comics/sibling_in_law.png
https://xkcd.com/2039/,https://imgs.xkcd.com/comics/begging_the_question.png
https://xkcd.com/2038/,https://imgs.xkcd.com/comics/hazard_symbol.png
https://xkcd.com/2037/,https://imgs.xkcd.com/comics/supreme_court_bracket.png
https://xkcd.com/2036/,https://imgs.xkcd.com/comics/edgelord.png
https://xkcd.com/2035/,https://imgs.xkcd.com/comics/dark_matter_candidates.png
https://xkcd.com/2034/,https://imgs.xkcd.com/comics/equations.png
https://xkcd.com/2033/,https://imgs.xkcd.com/comics/repair_or_replace.png
https://xkcd.com/2032/,https://imgs.xkcd.com/comics/word_puzzles.png
https://xkcd.com/2031/,https://imgs.xkcd.com/comics/pie_charts.png
https://xkcd.com/2030/,https://imgs.xkcd.com/comics/voting_software.png
https://xkcd.com/2029/,https://imgs.xkcd.com/comics/disaster_movie.png
https://xkcd.com/2028/,https://imgs.xkcd.com/comics/complex_numbers.png
https://xkcd.com/2027/,https://imgs.xkcd.com/comics/lightning_distance.png
https://xkcd.com/2026/,https://imgs.xkcd.com/comics/heat_index.png
https://xkcd.com/2025/,https://imgs.xkcd.com/comics/peer_review.png
https://xkcd.com/2024/,https://imgs.xkcd.com/comics/light_hacks.png
https://xkcd.com/2023/,https://imgs.xkcd.com/comics/y_axis.png
https://xkcd.com/2022/,https://imgs.xkcd.com/comics/sports_champions.png
https://xkcd.com/2021/,https://imgs.xkcd.com/comics/software_development.png
https://xkcd.com/2020/,https://imgs.xkcd.com/comics/negative_results.png
https://xkcd.com/2019/,https://imgs.xkcd.com/comics/an_apple_for_a_dollar.png
https://xkcd.com/2018/,https://imgs.xkcd.com/comics/wall_art.png
https://xkcd.com/2017/,https://imgs.xkcd.com/comics/stargazing_2.png
https://xkcd.com/2016/,https://imgs.xkcd.com/comics/oeis_submissions.png
