title,published_date,link
#166 Continuous delivery with Python,"Thu, 14 Jun 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/166/continuous-delivery-with-python
#165 Python and the blockchain,"Fri, 08 Jun 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/165/python-and-the-blockchain
#164 Python in Brain Research at the Allen Institute,"Fri, 01 Jun 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/164/python-in-brain-research-at-the-allen-institute
#163 Python in Geoscience,"Fri, 25 May 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/163/python-in-geoscience
#162 Python in Building and Architecture,"Mon, 21 May 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/162/python-in-building-and-architecture
#161 Django 2.0,"Sat, 12 May 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/161/django-2.0
#160 Lektor: Beautiful websites out of flat files,"Fri, 04 May 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/160/lektor-beautiful-websites-out-of-flat-files
#159 Inside the new PyPI launch,"Fri, 27 Apr 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/159/inside-the-new-pypi-launch
#158 Quantum Computing and Python,"Fri, 20 Apr 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/158/quantum-computing-and-python
#157 The Journal of Open Source Software,"Fri, 06 Apr 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/157/the-journal-of-open-source-software
#156 Python History and Perspectives,"Sat, 24 Mar 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/156/python-history-and-perspectives
#155 Practical steps for moving to Python 3,"Fri, 16 Mar 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/155/practical-steps-for-moving-to-python-3
#154 Python in Biology and Genomics,"Wed, 07 Mar 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/154/python-in-biology-and-genomics
#153 How Python Evolves,"Thu, 01 Mar 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/153/how-python-evolves
#152 Understanding and using Python's AST,"Fri, 23 Feb 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/152/understanding-and-using-pythons-ast
